Job Title,Job Company,Job Type,Job Location,Job Posted,Job Link,Job Description
Software Engineer* Dynamics 365,PERI,Contract,"Weissenhorn, Germany",28 days ago,https://jobs.github.com/positions/241a62bb-3a28-476c-85c0-f9b19b7c3f49,"
Sie tragen Verantwortung für

die agile Anwendungsentwicklung im gesamten Lebenszyklus der Dynamics 365 Landschaft inklusive Power Platform
den Aufbau und die Weiterentwicklung einer automatisierten CI/CD Pipeline
die Erarbeitung und Validierung von IT-Konzepten
die Spezifikation und Implementierung von optimalen Schnittstellen sowie Integration externer Datenquellen
die Unterstützung bei der Durchführung von Migrations- und Rolloutprojekten
das Management von externen Dienstleistern und der Entwicklungstätigkeiten gemäß dem IT-Vorgehensmodell, Entwicklungsprozess und Qualitätsmanagement

Sie erwartet bei uns

flache Hierarchien
anspruchsvolle Projekte in interdisziplinären und interkulturellen Teams
internationale Einsatzmöglichkeiten

Sie zeichnen sich aus durch

ein abgeschlossenes Hochschulstudium der Wirtschaftsinformatik, technischen Informatik oder einer vergleichbaren Fachrichtung
mehrjährige praktische Erfahrungen im Bereich der Software-Entwicklung, vorzugsweise im Dynamics 365 Umfeld
sehr gutes Verständnis von agilen Methoden (SCRUM, Kanban)
höchste Lösungsorientierung und Innovationsbereitschaft
Ihre Reisebereitschaft
sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift

*Mit unseren Stellenausschreibungen sprechen wir alle Geschlechter gleichermaßen an.
Ein Stellenangebot der Peri-Werk Artur Schwörer GmbH & Co. KG.
"
IT Projektmanager Campus (m/w/d),ALDI Einkauf GmbH & Co. oHG,Full Time,Essen,about 14 hours ago,https://jobs.github.com/positions/75998254-9128-4503-9377-1e169f2155b8,"
Über uns
ALDI Nord zählt mit einer mehr als 100-jährigen Erfolgsgeschichte zu den führenden Lebensmitteleinzelhändlern in Europa. Als Erfinder des Discounts ist es unser Anspruch, das Einkaufen für unsere Kunden so einfach wie möglich zu machen. Dafür erfinden wir uns immer wieder neu, entwickeln uns weiter und gestalten so die Zukunft des Discounts. Du hast die POWER, gemeinsam mit uns zu wachsen? Werde Teil unseres Teams!
Das sind Deine Aufgaben

Eigenverantwortliche Leitung und Durchführung von IT-(Teil-)Projekten
Erarbeitung und Abstimmung ausgereifter Lösungskonzepte mit den Entscheidern vor Ort und den zentralen Organisationseinheiten
Verantwortung für die Erreichung der Projektziele (Budget, Qualität, Zeit) und Sicherstellung der Projektmanagement-Dokumentation
Zentraler Ansprechpartner und Schnittstelle zwischen den IT-Abteilungen sowie den verschiedenen Fachbereichen
Steuerung, Koordination und Monitoring externer Dienstleister

Das bringst Du mit

Abgeschlossenes Studium der (Wirtschafts-)Informatik oder eine vergleichbare Qualifikation
Erfahrung in der Leitung und Steuerung von IT-Projekten und die Fähigkeit auch bei heterogenen Themen den Überblick zu behalten
Sehr gute Kommunikations- und Präsentationsfähigkeiten sowie eine analytische und eigenständige Arbeitsweise
Eine gut strukturierte und organisierte Arbeitsweise sowie eine hohe Auffassungsgabe, um sich schnell in neue Aufgabenfelder einzuarbeiten
Kenntnisse im Bereich IT-Infrastruktur wünschenswert - insbesondere im Kontext Bauprojekte (Netzwerk, Medientechnik, Workplace, Printing, Telefonie, Zugangssysteme, CAFM etc.)

Das bieten wir Dir

Top-Branchengehalt
Eine abwechslungsreiche und anspruchsvolle Tätigkeit
Einen sicheren Arbeitsplatz bei der Nr. 1 im Discount
Ein leistungsstarkes und angenehmes Arbeitsumfeld in einem Team, das sich auf dich freut!

Interessiert?
Wir freuen uns auf Ihre Bewerbung über das Bewerbungsformular
Kontakt
ALDI Einkauf GmbH & Co. oHG
Eckenbergstr. 16
45307 Essen
Klick hier um zum Bewerbungsformular zu gelangen!
"
Softwareentwickler (m/w/d) für Kliniksoftware C++,CompuGroup Medical SE & Co. KGaA,Full Time,Höxter,about 15 hours ago,https://jobs.github.com/positions/3d8d6e41-66be-440a-8689-0a0fd4b0f8d1,"
CompuGroup Medical hilft heilen
CompuGroup Medical liefert wichtige Software, um Gesundheit und Lebensqualität zu verbessern. Wir bauen Brücken zwischen Ärzten, Apothekern, Kostenträgern, Laboren, Reha- und Pflegeeinrichtungen und Krankenhäusern und helfen ihnen, Menschen optimal zu versorgen. Die Arbeit aller medizinischen Leistungserbringer zu verstehen und immer mehr zu erleichtern ist unser Ziel. Seit über 30 Jahren unterstützen wir unsere Kunden, Informationen sicher zu speichern, auszutauschen und Wissen abzufragen.

Führendes internationales e-Health Unternehmen
746 Mio. € Jahresumsatz in 2019
Ca. 6100 Mitarbeiter weltweit
Einzigartige Kundenbasis mit über 1 Mio. professionellen Nutzern weltweit
Standorte in 18 und Produkte in 56 Ländern
Über 30 Jahre erfolgreich im Markt

Als Softwareentwickler (m/w/d) für Kliniksoftware C++ gestalten Sie heute schon mit, was die Zukunft bringt!
Prägen Sie unsere Software mit Ihrer Vision und programmieren Sie die digitale Zukunft des Gesundheitswesens! Mit CGM haben Sie Zugriff auf Erfahrungswerte von Jahrzehnten und gleichzeitig die Möglichkeit, mit uns gemeinsam Ihren Beitrag zu einer Verbesserung der medizinischen Versorgung zu leisten - Ihr Code ist unsere DNA.
Ihr Beitrag:

In einem agilen Team (Scrum) designen, entwickeln und implementieren Sie neue Software-Komponenten für unsere Krankenhausinformationssysteme mit C++ und MFC
Dabei arbeiten Sie über Anforderungen und Aufwandsschätzungen eng mit dem Produktmanagement zusammen
Über Dokumentationen, Entwicklertests und Code Reviews sichern Sie Ihre Arbeit umfassend ab
Mithilfe von Jira und Confluence dokumentieren und tracken Sie die aktive Optimierung der bestehenden Softwarearchitektur

Was uns wichtig ist:

Abgeschlossene Ausbildung im Bereich IT, z. B. als Fachinformatiker (m/w/d) oder Studium, z. B. Informatik, Wirtschaftsinformatik, Computer Sciences oder Software Engineering
Bereits Erfahrung in der agilen (Scrum) professionellen Entwicklung von Anwendungen mit C++
Idealerweise Kenntnisse im Bereich Datenbanken wie z.B. Microsoft SQL Server und Erfahrungen in der Applikationsentwickung mit Java
+Fließende Deutsch- und gute Englischkenntnisse

Was Sie von uns erwarten können:

Sie profitieren von einem Umfeld mit langjähriger Erfahrung in einem der wichtigsten Märkte der Zukunft
Sie entwickeln ein Produkt, das für Zuverlässigkeit, Sicherheit und Stabilität in einer hochdynamischen Gegenwart steht
Ein offenes und freundliches Team, das mit Spaß und Kompetenz zusammenarbeitet
Auf Wunsch ermöglichen wir Ihnen die Teilnahme an Entwicklungsprogrammen und Weiterbildungen, z. B. zum Agile Master oder Product Owner sowie In-house-Trainings in Englisch
Flexible Arbeitszeiten unterstützen eine gesunde Work-Life-Balance
Regelmäßige Team- und Firmenevents fördern die gemeinsame Teamkultur
Kostenfreie Getränke verpflegen Sie rund um die Uhr

Sie erleichtern es uns schnell richtige Entscheidungen zu treffen, wenn Sie uns über das Bewerbungsformular Ihre aussagekräftigen Unterlagen mit Ihren Gehaltsvorstellungen übermitteln.
Klicken Sie hier um zum Bewerbungsformular zu gelangen!
Synchronizing Healthcare
Werden Sie jetzt ein Teil davon!
Kennziffer:
req5144
Standort:
Höxter
Jobsegment:
Software Development
Kontakt:
career@cgm.com
"
Java Software Engineer,LINK Mobility Group,Full Time,Stockholm,about 16 hours ago,https://jobs.github.com/positions/552d321b-9a9d-4c61-bd39-52cad1dbe444,"
LINK Mobility Group AS is one of Europe's leading providers within mobile communications, specializing in CPaaS, mobile messaging services, and mobile solutions. The Group offers a wide range of scalable services and solutions across industries and sectors due to a growing demand for digital convergence between businesses and customers, platforms, and users. The Group is headquartered in Oslo, Norway and is publicly listed on the Oslo Stock Exchange. LINK Mobility continues to experience strong organic growth with a high degree of recurring revenue, as customers tend to move more business activities onto mobile platforms. In 2019, LINK Mobility had a total turnover of 2.9 billion NOK with offices in 17 different countries.
JAVA DEVELOPER
@LINK Mobility we live by three core values that drive our business and people: Innovative, Trustworthy and Committed. When working @LINK you appreciate diversity, cross-border collaboration and solving complex challenges in a high growth environment. Our people are knowledgeable, curious and agile team players who strive to consistently deliver the best mobile messaging solutions for our customers.
Position overview
We are looking for an experienced Java backend developer who wants to be a key contributor to the development of the messaging gateway that is central in LINK´s CPaaS solution. You will become part of a small office with a friendly atmosphere, and at the same time, part of a vibrant international environment with daily interactions with colleagues from across Europe and customers around the world.
Every day, more than 10 million messages are sent through the gateway, and the traffic is steadily increasing. To boost deliveries and continue to increase the capacity and functionality of the gateway we are welcoming a new skillful developer to the team. You are experienced enough to work independently and ensure progress on your tasks. But equally important, you are transparent about your work, share knowledge and contribute to a good team spirit.
Join us at our office in the Skrapan building on Götgatan street in central Stockholm.
Responsibilities:
Design and implement solutions with high quality.
Co-operate with support and operation teams to keep platform SLAs.
Contribute to continuous improvements of software and teamwork.
Your Experience:

5+ years of experience from working as a backend Java developer.
Experience from building scalable, robust and transaction-intensive systems.
Experience from the Telecom industry is a bonus.
Desirable knowledge: Tomcat, Spring, MSSQL, PostgreSQL, Kafka, RIAK, JAX-RS, JAX-WS, Redis, JavaScript, HTML, Networking, Linux and Eclipse.

Your Qualifications:
MSc Computer Engineering/ Computer science, or equivalent knowledge.
Fluent in English.
Our Perfect Match:
Self-motivated and driven with strong analytical and problem-solving skills.
Business-oriented with the ability to understand the value chain and business model of the customers.
Positive attitude and a constructive mindset.
Every employee is an important member of the LINK Family. We do not accept any discrimination, whether active or by means of passive support, whether based on ethnicity, national origin, religion, disability, gender, sexual orientation, marital or parental status, union membership, political views, age or any other characteristic that results in compromising the principle of equality. LINK Mobility regards diversity as a lever for profitability.
For questions about the position, please contact Technology Director, Lars Holmqvist, +46732594084, lars.holmqvist@linkmobility.com
"
iOS Developer (f/m/d),Humanoo ,Full Time,Berlin ,about 17 hours ago,https://jobs.github.com/positions/3ad489ca-abc1-4078-b9dd-d4970bfbd026,"
Humanoo. Making people healthier - together with you
We are looking for an iOS Developer (f/m/d) who thrives on delivering state-of-the-art iOS applications that shape a strong connection with the end-user.
WE OFFER
â—‹Up to 29 days off, including 3 Event Days
â—‹Personal development plan
â—‹BVG-ticket contribution
â—‹Unlimited access to the Humanoo App
WHAT WILL YOU BE WORKING ON?
â—‹ You are responsible for the entire lifecycle of the app development
â—‹ You work on the functional and esthetical development of our iOS apps using Swift
â—‹ You continuously improve our code quality and feature stability
â—‹ You maintain, enhance and optimize our iOS applications
â—‹ You work closely with the Product Owners and UX/UI Designers to ensure our apps are a delight to use
HOW DO YOU FIT IN?
â—‹ You bring in at least 2 years of experience as an iOS Developer
â—‹ You have experience with Push Notifications and the latest iOS SDK features
â—‹ You know your way around CocoaPods, GitHub, Alamofire
â—‹ Web services (REST APIs and JSON) hold no secrets for you
â—‹ You are enthusiastic about Agile and following practices like TDD
NICE TO HAVE
â—‹ You developed and launched apps currently available in the App Stores
â—‹ You worked with HealthKit frameworks
â—‹ You know more than a thing or two about developing for Android
WORKING AT HUMANOO
HUMANOO is a rapidly growing Health-Tech startup in Berlin-Kreuzberg. We work with corporations and insurers to empower people to achieve their personal health goals. Users of our platforms get incentivized with cash-outs, products, and services to live a healthier lifestyle â€“ guided by the tailored content in our app.
At HUMANOO you get to work in an international team with a can-do attitude. We embrace diversity and inclusion: Come as you are! We get together on a regular basis, from informative All-Hands Meetings to exciting team events.
Last but not least: We don't hire profiles â€“ we hire people. If your background is a little different, but you still believe you could be a great addition to the HUMANOO family: Apply today! ðŸ’Œ
"
Senior Backend Developer (f/m/d) ,Humanoo ,Full Time,Berlin ,about 17 hours ago,https://jobs.github.com/positions/5443a1de-136a-404f-8e1b-20c61e80153d,"
Humanoo. Making people healthier - together with you
We are looking for a Senior Backend Engineer (f/m/d) who thrives on solving complex puzzles and whoâ€™s known to be a great collaborator.
WE OFFER
â—‹Up to 29 days off, including 3 Event Days
â—‹Personal development plan
â—‹BVG-ticket contribution
â—‹Unlimited access to the Humanoo App
WHAT WILL YOU BE WORKING ON?
â—‹You take end to end ownership of feature development (Code + Test + Deployment support)
â—‹You design a highly scalable system
â—‹You work on improvements in system performance to remove the bottleneck.
â—‹You contribute actively on API and architecture documentation.
â—‹You work closely with product owners and plan project inception to delivery
HOW DO YOU FIT IN?
â—‹At least 5 years of experience with Java
â—‹You are familiar with Maven, Spring boot, Hibernate
â—‹You have experience with microservices
â—‹Savvy with Git and AWS
â—‹Very good Object-oriented design skills
â—‹Well versed with Docker
â—‹Comfortable working with Agile and multiple deployments per day
â—‹Knowledge of event-driven systems or Kubernetes is a plus.
WORKING AT HUMANOO
HUMANOO is a rapidly growing Health-Tech startup in Berlin-Kreuzberg. We work with corporations and insurers to empower people to achieve their personal health goals. Users of our platforms get incentivized with cash-outs, products, and services to live a healthier lifestyle â€“ guided by the tailored content in our app.
At HUMANOO you get to work in an international team with a can-do attitude. We embrace diversity and inclusion: Come as you are! We get together on a regular basis, from informative All-Hands Meetings to exciting team events.
Last but not least: We don't hire profiles â€“ we hire people. If your background is a little different, but you still believe you could be a great addition to the HUMANOO family: Apply today! ðŸ’Œ
"
DevOps Engineer,uMotif,Full Time,London,about 19 hours ago,https://jobs.github.com/positions/e1d550f5-8ffd-4987-8d51-5bc3669f0605,"
uMotif’s mission is to put patients at the centre of research by building data capture solutions people love to use. Designed with patients for patients, the uMotif platform supports data capture for each phase of clinical research across all therapeutic areas. Over 22,000 participants use our applications to track and submit e-consent, symptom, eCOA, ePRO, and wearable device data. With expertise in engaging patients and fast deployments, we work with 10 of the top 20 global pharmaceutical companies to power large real-world evidence (RWE) and virtual studies.
The Role
We are looking for an experienced DevOps Engineer to join uMotif’s Engineering team. As part of your role, you will:

Maintain and improve tools to provide fast and stable deployments across our entire tech stack
Contribute to the process of automated software builds and testing
Develop solutions using AWS cloud services
Maintain high quality of open source projects

What uDo?

Improve resilience and security of the existing infrastructure
Use Terraform to create environments where software is continuously deployed into multiple environments
Maintain and continually improve public and private Terraform modules
Create deployable solutions that are used to spin up any environment within AWS on a selfserve basis
Work on the containerized stack to ensure its performance and security
Create procedures for pushing software updates and patches as well as maintain consistent configurations between environments
Maintain Kubernetes setup and continue improving existing solution
Migrate existing environments from EC2 to containerized solution (ECS)
Implement security solutions in our cloud estate

What uNeed to Succeed!

Significant experience in designing resilient and scalable solutions within AWS. Essential services; VPC, IAM, EC2, S3, CloudWatch, DynamoDB, ACM, Route53, RDS, Elasticache, ECS, EKS, and SNS.
Experience provisioning and maintaining infrastructure using Terraform and/or Cloudformation
Sound knowledge around containers while utilizing solutions such as EKS (Kubernetes) and ECS
Understanding of network security and security principles
Experience in working with CI tools such as GitLab or GitHub Actions
Good Git knowledge while using Github/Gitlab
Strong scripting and automation skills using Bash, Python, or Go
-Ability to manage code deployments and versioning, upgrading, and security patching of software

Nice to have

Experience working in a regulated environment (clinical, financial)
Experience in writing well written Lambda functions using Javascript, Python, or Go
Experience with NewRelic and delivered configuration for alerting using Terraform
Experience with Okta our single sign-on solution
Experience with Terraform Cloud
Experience in working with GitLab and GitLab Runners

Why uMotif!

25 days holiday per year, plus an additional day off for your birthday
Bupa private medical insurance
Workplace pension contribution
Share options
Cycle to Work scheme
‘uToken’ annual lifestyle bonus
Flexible working
EAP


"
Expressions of interest – Native iOS or Native Android developers,Commonwealth Bank,Full Time,"Sydney, Australia",1 day ago,https://jobs.github.com/positions/ea15f1a5-c0c4-443a-bc1c-9e32bf073251,"

You are passionate, innovative and a big thinker
We are Australia’s largest native mobile team, building apps used by millions
Together we can impact the financial wellbeing of every customer

Do work that matters
You’ll use the latest technology to build apps and features that determine how millions of people access their money.
Drawing from your strong native mobile application experience, you’re constantly pushing the boundaries to help deliver outcomes that define future industry trends. Your passion for outstanding user experience and ability to solve complex problems is key to developing high quality, technical solutions.
You’ve got experience working in an Agile environment and using leading engineering practices with an appreciation for the value of continuous delivery and automated testing. Writing clean, efficient and elegant code is second nature to you.
You’re the kind of person who thrives when given the autonomy to drive their own projects – from conception, development, testing and release. But you’re also passionate about being active in the broader mobile development community. Honing your craft is something that happens inside and outside of work because you’re constantly keeping up to date with modern mobile dev practices.
Here, you’ll collaborate with the best mobile engineers in the country that emphasise open communication, quality work and a culture of excellence. And your hard work will pay dividends, being able to tap into flexibility, great rewards and the ability to drive your own career growth, knowing you’ll have our support every step of the way.
See yourself in our team
Our mobile team is the largest native mobile team in the country. The team responsible for building Australia’s number one banking app, used by over 5 million people every day.
We build elegant, world-class solutions that go beyond design to improve the financial wellbeing of each user. As someone who naturally balances logical, deep thinking with imagination and design, you’re a natural for coming up with great ideas. As a team we’re constantly striving to be the best in digital, pushing the boundaries to provide an unrivalled, personalised user experience across every product.
Our diverse teams are dedicated to learning, sharing knowledge and continuous improvement. Innovation, passion and creativity shape our culture.
We’re interested in hearing from people who:

Have proven experience developing robust and secure native iOS and Android applications with Kotlin or Swift
Are experts with Xcode and have advanced knowledge in source control management such as Git and Gitflow
Have experience with CI/CD and exposure to testing automation

If this sounds like you apply now!
"
"Expressions of interest – Systems Engineers (DevOps, Docker & Cloud Security)",Commonwealth Bank,Full Time,"Sydney, Australia",1 day ago,https://jobs.github.com/positions/57409c21-5271-482a-9eb5-33b21084e7fd,"

You are driven to find elegant solutions to complex problems
We are one of the most advanced engineering product teams in Australia
Together we can future-proof one of Australia’s largest companies

Do work that matters
As someone who never shies away from a challenge, let us present ours to you. We’re working to re-architect and modernise our delivery landscape, enabling our engineers to provide seamless solutions for millions of people. And we want your help.
Here, you can create, manage and optimise the platforms used to power our entire business. You’ll have the opportunity to take responsibility for continuous improvement, ensuring our systems are simpler, faster and more secure.
You’re determined to innovate and create, fix what’s broken and speak up when something’s not right. Your analytical mind means data is part of every decision you make and you’re always on the lookout for improvement – from product delivery to honing your own skills.
Working with us means you’ll collaborate across teams and functions, partnering with Software Engineers, Application Developers and Network Technicians. And you’ll have the opportunity to share your knowledge and can communicate technical ideas to your peers, managers and the broader engineering community.
You have a tenacious attitude towards solving problems, be they business or technology. Here you’ll work with top engineers who are collectively driven to provide industry-leading solutions for the bank and its customers.
See yourself in our team
The Cloud Services Team is responsible for delivering the infrastructure and platform services that make it easier, cheaper and faster for CommBank to operate. We enable our engineering teams to provide unparalleled solutions for millions of people.
Leveraging cloud technologies, we provide highly standardised platforms that push us toward rapid deployment and greater resilience. Together we’re integrating our automation processes, tools, data and ways of working to streamline delivery and provide unrivalled personalisation.
We’re a diverse and inclusive bunch, dedicated to nurturing and supporting our people. We focus on skill development, collaboration and flexibility, encouraging you to build your experience across our diverse tech stack. Tap into flexibility, great rewards and the ability to drive your own career growth, knowing you’ll have our support every step of the way.
We’re interested in hearing from people who:


Have technical understanding and experience of technology, system integration and application build, containerisation and modernisation concepts.


Have hands-on automation scripting and programming skills in Bash, Shell, Golang, Python and Scala


Have experience with DevOps engineering


Have experience designing and building application containerisation and modernisation solutions, including end-to-end CI/CD solutions.


Are experienced in standardising deployment, performing codification, providing scalable application primitives and automating the risk control environment


Can demonstrate experience with Kubernetes, Docker orchestration and infrastructure-related open source contributions


Have experience in automation and configuration management tools such as Ansible, Puppet or Chef


If this sounds like you apply now!
"
Expressions of interest – Senior Data Engineer,Commonwealth Bank,Full Time,"Sydney, Australia",1 day ago,https://jobs.github.com/positions/4334779b-e002-4532-99dd-ad4413d75091,"

You are determined to stay ahead of the latest Big Data technologies
We're one of the largest and most advanced Data Engineering teams in the country
Together we can build state-of-the-art data solutions that power seamless experiences for millions of customers

Do work that matters
As an experienced data engineer with proven expertise in software development and a passion for providing data-driven solutions, you’re ahead of trends and work at the forefront of Big Data technologies.
Which is why we’re the perfect fit for you. Here, you’ll be part of a team of engineers going above and beyond to improve the standard of digital banking. Using the latest tech to solve our customers’ most complex data-centric problems.
Across our end-to-end cycle, it will be your job to support the design and construction of large-scale automated machine learning and data mining practices. Drawing from your ability to integrate diverse sets of data from multiple sources you will design, develop and build industry-leading group data products.
Your experience means you’re able to execute state-of-the-art coding practices, driving high quality outcomes to solve core business objectives and minimise risks. Communicating to technical and non-technical stakeholders across the business comes naturally to you.
As someone who’s both eager to learn and share knowledge, you’re at home in a culture where quality, excellence and openness are championed. Here you’ll experience flexibility, great rewards and the opportunity to drive your own career growth.
See yourself in our team
To us, data is everything. It’s what powers our cutting-edge features and it’s the reason we can provide seamless experiences for millions of customers from app to branch.
We’re responsible for CommBank’s key analytics capabilities and work to create world-leading capabilities for analytics, information management and decisioning. We work across the Group Data Warehouse, Hadoop Big Data Platform, Pega Decisioning, SAS, R, Tableau, Oracle BI, Ab Initio and Data Stage.
We value innovation and encourage our employees to constantly think outside the box and break boundaries to solve complex problems. Our diverse teams are dedicated to learning, sharing knowledge and continuous improvement.
We’re interested in hearing from people who:

Have experience working with enterprise-level software applications providing Big Data solutions on Cloudera Hadoop platform.
Possess strong skills and background within software engineering, preferably with backend coding in Java, Scala and Python
Adept with designing and coding with Ab Initio applications.
Demonstrated experience in writing Spark APIs, Hive and Impala queries, along with strong expertise working with Apache Kafka and Apache Cassandra.

If this sounds like you apply now!
"
